ESPNOverall,ESPNPlayer,ESPNPosAndRank,ESPNPosRank
1,Christian McCaffrey,RB1,1
2,Dalvin Cook,RB2,2
3,Saquon Barkley,RB3,3
5,Alvin Kamara,RB4,4
6,Derrick Henry,RB5,5
7,Ezekiel Elliott,RB6,6
8,Jonathan Taylor,RB7,7
11,Austin Ekeler,RB8,8
13,Aaron Jones,RB9,9
14,Nick Chubb,RB10,10
15,Antonio Gibson,RB11,11
17,Joe Mixon,RB12,12
18,Najee Harris,RB13,13
21,Clyde Edwards-Helaire,RB14,14
22,D'Andre Swift,RB15,15
27,Miles Sanders,RB16,16
28,J.K. Dobbins,RB17,17
29,Chris Carson,RB18,18
37,Josh Jacobs,RB19,19
38,David Montgomery,RB20,20
39,Darrell Henderson Jr.,RB21,21
43,Myles Gaskin,RB22,22
63,Chase Edmonds,RB23,23
64,Travis Etienne,RB24,24
65,Kareem Hunt,RB25,25
75,Javonte Williams,RB26,26
76,Mike Davis,RB27,27
77,James Robinson,RB28,28
91,Damien Harris,RB29,29
92,Raheem Mostert,RB30,30
100,Zack Moss,RB31,31
101,Leonard Fournette,RB32,32
102,David Johnson,RB33,33
103,Kenyan Drake,RB34,34
110,James Conner,RB35,35
111,Melvin Gordon,RB36,36
112,Ronald Jones II,RB37,37
113,AJ Dillon,RB38,38
114,Nyheim Hines,RB39,39
123,Jamaal Williams,RB40,40
124,Devin Singletary,RB41,41
125,Michael Carter,RB42,42
126,Trey Sermon,RB43,43
127,J.D. McKissic,RB44,44
136,James White,RB45,45
137,Tarik Cohen,RB46,46
138,Latavius Murray,RB47,47
139,Gus Edwards,RB48,48
140,Alexander Mattison,RB49,49
141,Tony Pollard,RB50,50
142,Rob Gronkowski,RB51,51
148,Tevin Coleman,RB52,52
149,Phillip Lindsay,RB53,53
150,Darrel Williams,RB54,54
151,Russell Gage,RB55,55
159,Rashaad Penny,RB56,56
161,Devontae Booker,RB58,58
199,Sony Michel,RB60,60
200,Wayne Gallman,RB61,61
201,Justin Jackson,RB62,62
202,Salvon Ahmed,RB63,63
203,Chuba Hubbard,RB64,64
204,Malcolm Brown,RB65,65
205,Marlon Mack,RB66,66
206,Rhamondre Stevenson,RB67,67
207,Samaje Perine,RB68,68
208,Javian Hawkins,RB69,69
209,Joshua Kelley,RB70,70
210,DeeJay Dallas,RB71,71
235,Kerryon Johnson,RB72,72
236,Benny Snell Jr,RB73,73
237,Damien Williams,RB74,74
238,Kenneth Gainwell,RB75,75
239,La'Mical Perine,RB76,76
240,Mark Ingram II,RB77,77
