ESPNOverall,ESPNPlayer,ESPNPosAndRank,ESPNPosRank
1,Christian McCaffrey,RB1,1
2,Dalvin Cook,RB2,2
3,Saquon Barkley,RB3,3
4,Travis Kelce,TE1,1
5,Alvin Kamara,RB4,4
6,Derrick Henry,RB5,5
7,Ezekiel Elliott,RB6,6
8,Jonathan Taylor,RB7,7
9,Tyreek Hill,WR1,1
10,Davante Adams,WR2,2
11,Austin Ekeler,RB8,8
12,Stefon Diggs,WR3,3
13,Aaron Jones,RB9,9
14,Nick Chubb,RB10,10
15,Antonio Gibson,RB11,11
16,Joe Mixon,RB12,12
17,DeAndre Hopkins,WR4,4
18,Najee Harris,RB13,13
19,Clyde Edwards-Helaire,RB14,14
20,Calvin Ridley,WR5,5
21,DK Metcalf,WR6,6
22,D'Andre Swift,RB15,15
23,Miles Sanders,RB16,16
24,A.J. Brown,WR7,7
25,Justin Jefferson,WR8,8
26,Terry McLaurin,WR9,9
27,Keenan Allen,WR10,10
28,J.K. Dobbins,RB17,17
29,Chris Carson,RB18,18
30,David Montgomery,RB19,19
31,Allen Robinson II,WR11,11
32,Amari Cooper,WR12,12
33,Mike Evans,WR13,13
34,Robert Woods,WR14,14
35,CeeDee Lamb,WR15,15
36,Darren Waller,TE2,2
37,George Kittle,TE3,3
38,Darrell Henderson Jr.,RB20,20
39,Josh Jacobs,RB21,21
40,Adam Thielen,WR16,16
41,Diontae Johnson,WR17,17
42,Julio Jones,WR18,18
43,Myles Gaskin,RB22,22
44,DJ Moore,WR19,19
45,Chris Godwin,WR20,20
46,Tyler Lockett,WR21,21
47,Cooper Kupp,WR22,22
48,Kenny Golladay,WR23,23
49,Brandon Aiyuk,WR24,24
50,Ja'Marr Chase,WR25,25
51,Courtland Sutton,WR26,26
52,JuJu Smith-Schuster,WR27,27
53,Tee Higgins,WR28,28
54,Mark Andrews,TE4,4
55,Patrick Mahomes,QB1,1
56,Josh Allen,QB2,2
57,Odell Beckham Jr.,WR29,29
58,Michael Thomas,WR30,30
59,Chase Claypool,WR31,31
60,Laviska Shenault Jr.,WR32,32
61,Kyler Murray,QB3,3
62,Dak Prescott,QB4,4
63,Chase Edmonds,RB23,23
64,Travis Etienne,RB24,24
65,Kareem Hunt,RB25,25
66,Robby Anderson,WR33,33
67,Will Fuller V,WR34,34
68,Brandin Cooks,WR35,35
69,DJ Chark Jr.,WR36,36
70,Jerry Jeudy,WR37,37
71,Tyler Boyd,WR38,38
72,T.J. Hockenson,TE5,5
73,Kyle Pitts,TE6,6
74,Curtis Samuel,WR39,39
75,Javonte Williams,RB26,26
76,Mike Davis,RB27,27
77,James Robinson,RB28,28
78,Lamar Jackson,QB5,5
79,Russell Wilson,QB6,6
80,Justin Herbert,QB7,7
81,Logan Thomas,TE7,7
82,Dallas Goedert,TE8,8
83,Michael Gallup,WR40,40
84,Deebo Samuel,WR41,41
85,DeVonta Smith,WR42,42
86,Marquise Brown,WR43,43
87,Jarvis Landry,WR44,44
88,Antonio Brown,WR45,45
89,Aaron Rodgers,QB8,8
90,Tom Brady,QB9,9
91,Damien Harris,RB29,29
92,Raheem Mostert,RB30,30
93,Jaylen Waddle,WR46,46
94,Henry Ruggs III,WR47,47
95,Corey Davis,WR48,48
96,Jalen Reagor,WR49,49
97,Cole Beasley,WR50,50
98,Marvin Jones Jr.,WR51,51
99,Mike Williams,WR52,52
100,Zack Moss,RB31,31
101,Leonard Fournette,RB32,32
102,David Johnson,RB33,33
103,Kenyan Drake,RB34,34
104,Ryan Tannehill,QB10,10
105,Joe Burrow,QB11,11
106,Noah Fant,TE9,9
107,Robert Tonyan,TE10,10
108,Mike Gesicki,TE11,11
109,Jonnu Smith,TE12,12
110,James Conner,RB35,35
111,Melvin Gordon,RB36,36
112,Ronald Jones II,RB37,37
113,AJ Dillon,RB38,38
114,Nyheim Hines,RB39,39
115,Jalen Hurts,QB12,12
116,T.Y. Hilton,WR53,53
117,Mecole Hardman,WR54,54
118,Michael Pittman Jr.,WR55,55
119,Irv Smith Jr.,TE13,13
120,Hunter Henry,TE14,14
121,Eric Ebron,TE15,15
